Command	Access	Audience	Legacy Mapping (Shyalya/Mangos)	TortoiseBots Mapping	Notes / Verification Gap	Transport	Shipped in Penqle
save ai / load ai / reset ai	inherited	owner/GM	Expose/document/validate inherited commands	commands/BotCommands.cpp (save/load/reset)	Verify persistence against characters database	chat	shipped
playerbots> bot|gtask|rndbot|pmon|debug|account (modern)	console/мгp	console	target: map semantics not spelling (F16)	—	—	—	pending	ModernDonorCensus: Script/PlayerbotCommandScript.cpp
Shyalya holder table/selectors (S PlayerbotMgr)	varies	varies	target: command-to-capability ledger (F16)	—	—	—	pending	ShyalyaDonorCensus scout running
.bot hire <class> [role] [race] [gender]	any player (resting) or <Mercenary Hire> gossip	owner hires own companion	target: .bot hire	T: BotCommands::HandleHire -> HireProvisionService::Hire	—	chat (+ TBM addon transport)	shipped (#192)	fast path of the recruiter wizard; same caps/costs; role defaults per class, race defaults to faction pool, gender random
.bot role <Name> <tank|healer|dps|clear>	owner account	owner	target: .bot role	T: BotCommands::HandleRole -> SetForcedRole + ResetStrategies	—	chat	shipped (#199)	explicit role rebuilds strategy kit; Feral dps fights as Cat, tank as Bear; forced role wins role queries for owned companions
.bot loot [on|off]	owner account	owner	target: .bot loot / .bot action loot [on|off]	T: BotCommands::HandleLoot -> ChangeStrategy(+/-loot, non-combat) + DbStore save	—	chat (+ TBM addon transport)	shipped (#194)	default on via NonCombatStrategies fallback; selected bot or party scope
.bot repair	owner account	owner	target: .bot repair / .bot action repair	T: BotCommands::HandleRepair -> mature repair action	—	chat (+ TBM addon transport)	shipped (#194)	vendor proximity/gold checks stay in mature action; selected bot or party scope
.bot sell	owner account	owner	target: .bot sell / .bot action sell	T: BotCommands::HandleSell -> mature sell action	—	chat (+ TBM addon transport)	shipped (#194)	sells grey vendor trash; selected bot or party scope
.bot rest	owner account	owner	target: .bot rest / .bot action rest (aliases drink, eat)	T: BotCommands::HandleRest -> mature food/drink actions	—	chat (+ TBM addon transport)	shipped (#196)	pre-combat regen via food/drink; full health/mana counts as success
.bot release	owner account	owner	target: .bot release / .bot action release	T: BotCommands::HandleRelease -> mature release action	—	chat (+ TBM addon transport)	shipped (#197)	dead scoped bots release spirit; no dead bots reports cleanly
.bot corpse run	owner account	owner	target: .bot corpse run / .bot action corpse run	T: BotCommands::HandleCorpseRun -> mature corpse run action	—	chat (+ TBM addon transport)	shipped (#197)	spirit bots run back to corpse; also accepts .bot corpse run
.bot learn	owner account	owner	target: .bot learn / .bot action learn	T: BotCommands::HandleLearn -> mature trainer action (learn)	—	chat (+ TBM addon transport)	shipped (#197)	learns affordable spells at matching nearby trainers
.bot trade	owner account	owner	target: .bot trade / .bot action trade	T: BotCommands::HandleTrade -> mature trade action	—	chat (+ TBM addon transport)	shipped (#197)	requires targeting one alive companion bot
.bot action raid status	owner account	owner	target: .bot action raid status	T: BotCommands::HandleRaidAction (status) -> per-bot raid strategy report	—	chat (+ TBM addon transport)	pending (#201)	reports molten core/onyxia/blackwing lair/naxxramas + fight strategies per bot, or outdoor
.bot action raid tankface	owner account	owner	target: .bot action raid tankface (dragon target)	T: BotCommands::HandleRaidAction (tankface) -> mature dragon tank face away action	—	chat (+ TBM addon transport)	pending (#201)	drags current dragon boss away from raid anchor so breath/cleave miss the raid
.bot action raid douse	owner account	owner	target: .bot action raid douse	T: BotCommands::HandleRaidAction (douse) -> mature douse mc rune eternal/aqual actions	—	chat (+ TBM addon transport)	pending (#201)	douses nearby MC runes, Eternal Quintessence (22754) first, Aqual (17333) fallback
